number,governorate,district,sub_district,community,latitude_y,longitude_x,temp_code,site_name,type_of_location,shelter_details,newly_established_yn,date_of_input,planned_capacity_hh,families,individuals,girls_children_under_18_18,boys_children_under_18_18,women_female_adults,men_male_adults,full_name,phone,organization_name,comments,cccm,shelter,nfi,wash,fsl,education,cash,protection,nutrition,erl,health,severity_scale_wash_fsl_health_shelter,cccm_2,shelter_2,nfi_2,wash_2,fsl_2,education_2,cash_2,protection_2,nutrition_2,erl_2,health_2,cccm_3,cccm_contact,shelter_3,shelter_contact,nfi_3,nfi_contact,wash_3,wash_contact,fsl_3,fsl_contact,education_3,fsl_contact_2,cash_3,education_contact,protection_3,protection_contact,nutrition_3,nutrition_contact,erl_3,erl_contact,health_3,health_contact,status,admin4pcode,admin1pcode,site_name_ar,admin3pcode,geometry
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070005,"c(36.66496, 35.999805)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.405954, 36.060964)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.398938, 36.054596)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.456096, 36.143511)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.4487, 36.1399248)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.447839, 36.135247)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.440353, 36.137876)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.407574, 36.181694)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.378282, 36.167218)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.41998, 36.187131)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.414012, 36.193607)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.449861, 36.149361)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.439492, 36.130177)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070302,"c(36.387247, 36.156678)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070005,"c(36.698879, 36.110227)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY070000,"c(36.623923, 35.937926)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY020800,"c(38.009089, 36.818051)"
24,Aleppo,Jarablus,Jarablus,Jarablus,36.818051,38.009089,N/A,AFAD Elementary School    ,School,Caravans,No ,2023-03-02,40,30,105,32,72,25,21,Idris Sato,5318553796,Relief office,The center was canceled,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Local Council,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C2227,SY02, مدرسة افاد الابتدائية,SY020400,"c(37.071742, 36.601288)"
25,Aleppo,Jebel Saman ,Atareb,  Babkah,36.734077,36.159214,CP002258,"Turkish Religious Endowment Center, Tuwim Kamuna Camp   ",Reception Center  ,Tents,Yes ,2023-03-02,30,29,140,40,30,40,30,Abdul Latif Ali Al-Marai,628000000000,Development Directorate,"The site is a sector of Twaim camp, CP002258.
The center has been closed.",NA,5,30,20,60,50,100,100,100,100,100,NA,ATAA,Mercy Organization,Ehsan Organization,ATAA,NA,بيبول نيد,NA,NA,NA,NA,6280000000000,عبداللطيف علي المرعي,NA,عطاء,NA,ميرسي,NA,الاحسان,NA,عطاء,NA,0,NA,بيبول نيد,NA,0,NA,0,NA,NA,NA,NA,No,closed,NA,SY02,  تويم الكمونة,NA,"c(NA, NA)"
26,Aleppo,Jebel Saman ,Atareb,  Babkah,36.752846,36.157013,CP002245,Al-Khairat 2 Al-Bashir Camp   2 - ,Planned Camp  ,Cement construction,No ,2023-03-02,140,120,720,175,150,215,180,Ammar Ahmed Al-Yassin,963 718 660,Development Directorate,The camp has been merged with Camp Al-Bashir CP002245,NA,20,50,25,100,100,100,100,100,100,25,NA,Khairat Organization,Solidarity,Ehsan Organization,NA,NA,NA,NA,ATAA,NA,NA,964000000000,جميل محمد الحسين,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,No,closed,NA,SY02, 2   الخير 2  البشير,NA,"c(NA, NA)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070005,"c(36.674523, 36.018176)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070005,"c(36.66496, 35.999805)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.405954, 36.060964)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.398938, 36.054596)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.456096, 36.143511)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.4487, 36.1399248)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.447839, 36.135247)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.440353, 36.137876)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.407574, 36.181694)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.378282, 36.167218)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.41998, 36.187131)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.414012, 36.193607)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.449861, 36.149361)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.439492, 36.130177)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070302,"c(36.387247, 36.156678)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070005,"c(36.698879, 36.110227)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY070000,"c(36.623923, 35.937926)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY020800,"c(38.009089, 36.818051)"
27,Aleppo,  Azaz,Azaz,Nayara,36.601288,37.071742,N/A,Niaraa RC    ,Reception Center  ,Tents,Yes ,2023-03-02,80,41,184,55,38,61,30,Ahmed Samir Felfel,90 531 505 08 50,NA,The camp was established for the earthquake-affected people of the city of Azaz,NA,50,100,100,100,100,100,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,closed,C1573,SY02, مركز نيارة,SY020400,"c(37.071742, 36.601288)"
حذف جديد,Idleb,Harim,Dana,Bab El Hawa  - ,36.247517,36.711164,CP000194,Sakan Center   ,Reception Center  ,Tents,Yes ,2023-03-02,56,46,234,60,59,57,58,NA,NA,NA,The site is next to Damaet Nazeh / دمعة نازحة - الشهباء,Not Reported,Not Reported,0.5,Not Reported,Not Reported,1,Not Reported,1,1,1,Not Reported,0,Housing institution,Housing institution,Housing institution,Hand in Hand,White Hands Organization,NA,Child care association,NA,Sakan,NA,Sakan,شادي,NA,شادي,NA,شادي,NA,سلمان الحصرم,352681122132,عمر الرجب,352681126945,NA,NA,Suleiman Fares,9053773419,NA,NA,شادي,NA,NA,NA,شادي,NA,closed,NA,SY07, مركز استقبال سكن,SY070301,"c(36.711164, 36.247517)"
حذف جديد,Idleb,Harim,Salqin,Salqin,36.147606,36.453574,TEMP014,Ataa Al khair  ,Collective Center  ,Tents,Yes ,2023-03-02,150,152,823,228,200,210,185,Rami Al-Shami,37066143849,Relief office in Salqin,تم أغلاق المركز ونقل العوائل الى إيواءات أخرى,1,Not Reported,1,Not Reported,1,1,1,1,1,1,1,0.5,NA,Syria Relief,NA,Syria Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA,احمد العبدالله,963941579654,NA,NA,أحمد العبدالله,963941579654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,C4140,SY07, عطاء الخير,SY070302,"c(36.453574, 36.147606)"
حذف جديد,Idleb,Harim,Salqin,Qamshleih - ,36.202869,36.412591,TEMP008,Alkamshlia Center   ,Collective Center  ,Tents,Yes ,2023-03-02,120,97,545,125,135,140,145,Rami Al-Shami,37066143849,Relief office in Salqin,تم إغلاق المركز وعودة العوائل إلى قراهم,1,Not Reported,1,Not Reported,1,1,1,1,1,1,1,0.5,NA,Syria Relief,NA,Syria Relief,NA,NA,NA,NA,NA,NA,NA,NA,NA,احمد العبدالله,963941579654,NA,NA,أحمد العبدالله,963941579654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,NA,SY07, مركز القامشلية,SY070302,"c(36.412591, 36.202869)"
حذف جديد,Aleppo,  Azaz,Azaz,Azaz,36.61766,37.06977,TEMP030,Sjo garage   ,Reception Center  ,Tents,Yes ,NA,60,59,295,81,78,72,64,Mahmoud Koussa,5524477141,Kafaf Association,"The site is located near Garage Sajo camp CP001004, the site has independent management.",Not Reported,0.8,Not Reported,Not Reported,Not Reported,1,1,Not Reported,Not Reported,Not Reported,Not Reported,0.2,Basmat Shaghaf Organization + Kifaf Association,Kafaf association,Kafaf association + AKTD +Syria Relief,Local Council,ihh,NA,NA,Syria Relief,Syria Relief,Local Council,Imprint of passion,اكرم الحمصي,5551466664,محمود كوسا,5524477141,NA,NA,خليل الاحمد,5376762419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,خليل الاحمد,5376762419,NA,NA,closed,C1564,SY02, كراج سجو,SY020400,"c(37.06977, 36.61766)"
